;
;                          Classification Codes (CL)
;,,,,,,,,,
; SG = spiral galaxy           DN = diffuse nebula       OC = open cluster
; EG = elliptical galaxy       PN = planetary nebula     GC = globular cluster
; IG = irregular galaxy        DK = dark nebula          DS = double star
;                                                        QS = quasar
;       Compiled by Darrell W. Green - CompuServe [72406,1736]
;
Catalogue,Messier,Constellation,Class,Right ascension,Declination,Magnitude,Angular size,Burnham,Remarks
NGC2632,M 44,Cancer,Open cluster,8h 40.1m,19° 59',3.1,95,!!,Praesepe - Beehive Clustr
NGC2655,,Camelopardis,Spiral galaxy,8h 55.6m,78° 13',10.1,5.0x3.4,,Sa - diffuse arms
NGC2658,,Pyxis,Open cluster,8h 43.4m,-32° 39',9.2,12,,number: 80
NGC2681,,Ursa Major,Spiral galaxy,8h 53.5m,51° 19',10.3,2.8x2.5,,"Sa-cmpct cntr,dstnct arms"
NGC2682,M 67,Cancer,Open cluster,8h 50.4m,11° 49',6.9,30,!,nmbr:200 - interesting OC
NGC2683,,Lynx,Spiral galaxy,8h 52.7m,33° 25',9.7,8.0x1.3,,Sb - edge-on
NGC2742,,Ursa Major,Spiral galaxy,9h 7.6m,60° 29',11.7,2.5x1.0,,Sc
NGC2768,,Ursa Major,Elliptical galaxy,9h 11.6m,60° 2',10,1.6x0.8,,E5
NGC2775,,Cancer,Spiral galaxy,9h 10.3m,7° 2',10.3,2.3x1.9,,Sa
NGC2787,,Ursa Major,Spiral galaxy,9h 19.3m,69° 12',10.8,2.0x1.3,,Sap
NGC2808,,Carina,Globular cluster,9h 12m,-64° 52',6.3,7,!,I
NGC2841,,Ursa Major,Spiral galaxy,9h 22m,50° 58',9.3,6.4x2.4,*,Sb - symmetrical whorls
NGC2859,,Leo Minor,Spiral galaxy,9h 24.3m,34° 31',10.7,4.4x3.5,,SBa - faint outer ring
NGC2903,,Leo,Spiral galaxy,9h 32.2m,21° 30',8.9,11.0x4.6,*,Sb - many-armed spiral
NGC2950,,Ursa Major,Spiral galaxy,9h 42.6m,58° 51',11,1.3x0.9,,Sap
NGC2964,,Leo,Spiral galaxy,9h 42.9m,31° 51',11.3,2.2x1.1,,Sc
NGC2976,,Ursa Major,Spiral galaxy,9h 47.3m,67° 55',10.2,3.5x1.3,*,Scp-spiral pattern uncrtn
NGC2985,,Ursa Major,Spiral galaxy,9h 50.4m,72° 17',10.5,4x3,,Sb - fine spiral whorls
NGC2997,,Antlia,Spiral galaxy,9h 45.6m,-31° 11',10.6,6x5,!,Sc
NGC3003,,Leo Minor,Spiral galaxy,9h 48.6m,33° 25',11.7,5.0x0.9,!,S(B)c - edge-on
NGC3021,,Leo Minor,Spiral galaxy,9h 51m,33° 33',11.7,1.1x0.5,,Sb
NGC3031,M 81,Ursa Major,Spiral galaxy,9h 55.6m,69° 4',6.9,18x10,!,Sb - fine spiral
NGC3034,M 82,Ursa Major,Irregular galaxy,9h 55.8m,69° 41',8.4,8x3,!,Pec - fine pair with M81
NGC3077,,Ursa Major,Elliptical galaxy,10h 3.3m,68° 44',9.9,2.3x1.9,*,E2p - member M81 group
