Name Number,Magnitude H,Magnitude G,Mean anomaly,Arg. perihelion,Long. node,Inclination,Eccentricity,Semimajor axis,Epoch (MJD)
-none-
AOTEAROA 3400,14.1,0.15,95.651622,253.47924,254.50049,20.22737,0.0987977,1.9348518,48800
APHRODITE 1388,10.81,0.15,349.37242,260.33515,54.754327,11.18666,0.095168,3.0181284,48800
APOLLO 1862,16.25,0.09,211.98516,285.62238,35.94463,6.355318,0.5600322,1.4712443,48800
APOLLONIA 358,9.1,0.15,204.43185,252.02619,172.60841,3.545984,0.1529385,2.8754778,48800
APOSHANSKIJ 3190,12.8,0.15,240.57449,1.786818,358.60874,9.987305,0.1154777,2.9956903,48800
APPELLA 988,11.2,0.15,161.87368,337.40943,42.153001,1.58078,0.2219958,3.1645452,48800
APPENZELLA 1768,12.7,0.15,333.1481,18.372214,12.747541,3.279888,0.180347,2.4504104,48800
AQUILEGIA 1063,11.38,0.15,188.32335,106.86823,95.560426,5.975312,0.0392679,2.3141979,48800
AQUITANIA 387,7.41,0.15,131.92419,156.17292,128.5808,18.074732,0.2380583,2.7375718,48800
ARA 849,8.1,0.15,329.48668,63.611266,228.73613,19.451844,0.1851098,3.1648158,48800
ARABELLA 841,12.92,0.15,30.550703,119.95323,354.98777,3.795693,0.069682,2.2554957,48800
ARABIA 1157,10,0.15,36.472152,317.29996,336.42801,9.539791,0.1387239,3.1894203,48800
ARABIS 1087,9.73,0.15,77.020945,28.940172,30.7554,10.060358,0.0881795,3.0177866,48800
ARACHNE 407,8.88,0.15,276.15531,81.232007,294.97683,7.543004,0.0712636,2.6240447,48800
ARAGO 1005,9.7,0.15,47.102047,53.180147,349.85123,19.172822,0.1089775,3.1670496,48800
ARALIA 973,9.6,0.15,113.59816,92.865599,348.76872,15.792883,0.1055069,3.217455,48800
ARCADIA 1020,11.9,0.15,188.73664,39.363411,181.07451,4.04649,0.0425571,2.7898453,48800
ARCTICA 1031,9.56,0.15,17.784876,304.36133,219.30982,17.610243,0.0669083,3.0468524,48800
ARDUINA 394,9.66,0.15,144.06665,269.33387,67.612551,6.216881,0.2283495,2.7626094,48800
ARECIBO 4337,11.9,0.15,84.028895,161.54697,41.761612,2.271915,0.0984126,3.2511049,48800
ARENDA 1502,11.6,0.15,272.47247,272.23259,204.89496,4.080052,0.0862941,2.7330038,48800
AREQUIPA 737,8.81,0.15,106.93884,133.84189,185.16048,12.369284,0.2420749,2.5916648,48800
ARETE 197,9.18,0.15,267.95334,246.48054,81.889859,8.788761,0.1622677,2.7395796,48800
ARETHUSA 95,7.84,0.15,79.690293,151.75318,243.73108,12.925743,0.1426904,3.073304,48800
ARGELANDER 1551,12.2,0.15,61.421073,232.90406,107.50324,3.762585,0.0671064,2.3943893,48800
ARGENTINA 469,8.62,0.15,58.391361,205.44602,334.81503,11.726553,0.1763166,3.1566636,48800
ARIADNE 43,7.93,0.11,64.815726,15.889132,265.15054,3.466197,0.1679236,2.2035084,48800
ARIANE 1225,12.1,0.15,313.66686,100.37778,12.601647,3.0805,0.0743906,2.2330572,48800
ARIBEDA 1395,11.4,0.15,222.28438,107.36311,245.39948,8.66949,0.0446351,3.204633,48800
ARIESO 3496,14.9,0.15,86.644289,283.24944,130.03997,29.617499,0.458205,2.7174585,48800
ARINA 3523,12.4,0.15,8.10684,158.52872,55.856154,9.687369,0.136543,2.3708028,48800
ARISTAEUS 2135,17.94,0.15,213.97642,290.64854,191.45259,23.036932,0.5032216,1.5999034,48800
ARISTIDES 2319,12.2,0.15,131.7918,268.33878,112.93178,2.968554,0.0887141,2.90976,48800
ARISTOPHANES 2934,11.2,0.15,312.1291,70.959131,202.98799,8.830561,0.0404233,3.1685692,48800
ARIZONA 793,10.26,0.15,313.63068,308.66455,36.365893,15.789031,0.1251027,2.7952278,48800
ARLON 1717,12.9,0.15,317.25588,115.67465,340.74606,6.196309,0.1290522,2.1956051,48800
ARMANDHAMMER 3376,12.4,0.15,59.139263,327.15366,250.3334,6.335867,0.0666934,2.3485908,48800
ARMENIA 780,9,0.15,206.59032,216.96457,145.26228,19.054901,0.0879746,3.1188902,48800
ARMIDA 514,9.04,0.15,207.54662,120.45382,269.29229,3.875059,0.0441468,3.0448145,48800
ARMISTICIA 1464,11,0.15,314.20058,61.587231,87.259474,11.553997,0.0492805,3.0021617,48800
ARMOR 774,8.6,0.15,45.755496,30.693964,250.53701,5.560485,0.1695709,3.0470599,48800
ARNE 959,10.2,0.15,123.04196,331.40267,59.521695,4.469565,0.2002172,3.2083936,48800
ARNICA 1100,11,0.15,12.180657,21.258066,304.99476,1.037461,0.0702958,2.8980912,48800
ARNOLDA 1018,10.62,0.15,125.42209,342.67699,359.91061,7.679978,0.24894,2.5393656,48800
AROSA 1304,9.1,0.15,72.644238,142.39396,87.611949,18.906415,0.102873,3.2117361,48800
ARPIGNY 4696,12.5,0.15,245.87729,130.25374,178.95056,1.88691,0.0544653,2.858491,49000
ARPOLA 2194,12.6,0.15,296.75968,102.09879,47.408969,8.527551,0.0414042,2.3275098,48800
ARSINOE 404,9.01,0.15,123.88249,121.42278,92.749729,14.119827,0.1999729,2.5935842,48800
ARTEK 1956,11.9,0.15,247.61955,334.45646,154.16111,1.462957,0.0907839,3.215814,48800
ARTEMIS 105,8.57,0.1,46.12449,56.023655,188.54504,21.484577,0.1766173,2.373103,48800
ARTHUR 2597,11.9,0.15,55.97953,272.74896,120.31183,1.089126,0.1500515,3.0068683,48800
